,0,1,2
98,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
99,"['057a8170f1f595c6cbe38901ee60bbb7c5f71151', 0.16983415078685063]","['4103514267e2ae8d12e235cbf0665a1701f6ccde', 0.2098188586880405]","['c269035f3870d815a75cca58d42554e64c99ecd1', 0.20787502109577916]"
100,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
101,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
102,"['734142268d6ed0fc0793d1dcbe5a47a7cfd55c75', 0.004267887661084026]","['a1978105c078b200c84789c0423a4297c51740b9', 0.00974337121800096]","['f763dc4bbc1e181512ec7f5906d8f00e8644cb1f', 0.004353159817808691]"
103,"['00707b1a8a21d20ced95f2dd1113fb7e745aee42', 0.010003859904573]","['a56d63555a9aad9e885accfe2405dcb250d4a02c', 0.0241386150655158]","['bc8153d8ac58a2ec6abe444d196f840bf618f884', 0.025465030518318357]"
104,"['014659e0c10687b952a6d110476e0f87cc9543e4', 0.02670640784082302]","['67e848c53a080ca28df92c1bc5d3b3b379c23eef', 0.01821591591054577]","['aff5a7dee486604ce917295162ef8046d0365a95', 0.007033720624229024]"
105,"['11507078a245706d50eeb204deca1c3ce63e6216', 0.019676604744819665]","['42263fbcdb34cb4634c44c12c0138c6577c826dc', 0.010988556229845]","['b8c4e12caca737a7cc827f6e3c3847f991aeca37', 0.018876703289111826]"
106,"['4d1eb83fc13066132d3946074734135b2ad42012', 0.004858159892434222]","['ccab82e0e87b2cdd97b40e175e1862da93ace343', 0.00845530069660837]","['eb98aea12b0c4ed12190e8b0df53c06f6a933bbc', 0.004650840495714241]"
107,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
108,"['4d1eb83fc13066132d3946074734135b2ad42012', 0.004757455375040283]","['ccab82e0e87b2cdd97b40e175e1862da93ace343', 0.008242153231422458]","['eb98aea12b0c4ed12190e8b0df53c06f6a933bbc', 0.004546933080283562]"
109,"['0376d5335bced59e6081839ea4e7ce1707e3bb86', 0.00405569575732024]","['a7776a340c8f400169c4d920ff050540871bae85', 0.02243544224027336]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.018277853121184233]"
110,"['0376d5335bced59e6081839ea4e7ce1707e3bb86', 0.01707503865824464]","['3cf7aaffa20e10a56756a972c55ca0c84bfcafdc', 0.01611958087288318]","['6af5c454bdb6b42ff3f06104419adb865c0e5c73', 0.02970450516883775]"
111,"['2b6b0d514e6a5860821c0ffc6cc592cfb47a398b', 0.0021218260347171274]","['a7776a340c8f400169c4d920ff050540871bae85', 0.003944379545107381]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0034016097158525087]"
112,"['0376d5335bced59e6081839ea4e7ce1707e3bb86', 0.0029242224935853035]","['a7776a340c8f400169c4d920ff050540871bae85', 0.0027808102367844097]","['e0f08af1eb449b3e5e1a61a130c4ffb2c3e3cb04', 0.0008103215437920619]"
